Period Name,Position,Total Duration,Total Distance,Meterage Per Minute,HSD,VHSD,VHSD Relative,Sprint Distance,Velocity B7+ Total # Efforts (Gen 2) (Set 2),Maximum Velocity,Acceleration B2-3 Total Efforts (Gen 2),Deceleration B2-3 Total Efforts (Gen 2),Acceleration B3 Efforts (Gen 2),Deceleration B3 Distance (Gen 2),Max Acceleration,Max Deceleration,Acceleration Density,Total Acceleration Load,Running Imbalance,Total IMA,RHIE Total Bouts,Meta Energy (KJ/kg),HSD Per Minute,VHSD Per Minute,Sprint Distance Per Minute,RHIE Bouts Per Minute,Meta Energy (kj/kg) Per Minute,HI Accels Per Minute,VHI Accels Per Minute
Transition Game 2.1,Edges,0 days 00:06:34,657.7312025,100.15957,30.635,0,0.8175,0,0,6.314785,3,4.25,0,0.25,3.3546475,-3.9770825,0.52042,205.050755,2.497245,4.75,2,3.246325,0.0777525,0,0,0.005075,0.00197,0.0076125,0
Transition Game 2.1,Middles,0 days 00:06:34,623.843495,94.99913833,19.62666667,0,0,0,0,6.055491667,4.833333333,3.333333333,0,0.413333333,3.582991667,-4.353688333,0.528726667,208.32357,0.062216667,4.833333333,2.666666667,3.104861667,0.049815,0,0,0.006768333,0.001883333,0.012265,0
Transition Game 2.1,Outside Backs,0 days 00:06:34,644.3051913,98.11505375,36.06625,6.4925,6.135,0,0,7.00157625,2.625,3,0.375,0.43,3.82299,-4.6183225,0.4708,185.49919,2.26687625,3,2.25,3.12552875,0.0915375,0.01647875,0,0.00571125,0.001895,0.0066625,0.0009525
Transition Game 2.1,Service,0 days 00:06:34,660.0759443,100.5166271,12.79857143,1.084285714,1.028571429,0,0,6.13375,4.428571429,5,0.142857143,0.77,3.62736,-4.081648571,0.563625714,222.0742271,2.056304286,5,2.714285714,3.286207143,0.032482857,0.002751429,0,0.00689,0.001994286,0.011241429,0.000362857
Transition Game 2.1,Unknown,0 days 00:06:34,674.68958,102.742,28.27,0,0,0,0,6.90873,2,2,0,0.53,3.52876,-3.78238,0.58284,229.6434,1.81207,3,1,3.31028,0.07175,0,0,0.00254,0.00201,0.00508,0
Transition Game 2.2,Edges,0 days 00:04:53,478.4368125,97.74656,15.27,0,0.985,0,0,6.376645,2,1.75,0,0,3.3131225,-3.6034025,0.499685,146.747675,1.659515,1.5,0.75,2.349385,0.0519975,0,0,0.002555,0.0019125,0.0068125,0
Transition Game 2.2,Middles,0 days 00:04:53,452.055925,92.356835,1.546666667,0,0.356666667,0,0,5.566695,2.166666667,2.833333333,0,0.061666667,3.40909,-3.537055,0.502568333,147.5941517,0.171436667,3.666666667,1.666666667,2.242591667,0.005266667,0,0,0.005678333,0.001826667,0.007378333,0
Transition Game 2.2,Outside Backs,0 days 00:04:53,425.2245225,86.87507125,25.80625,5.2325,3.01,0,0,6.5184,0.875,2.25,0.125,0.11375,3.1209925,-3.950835,0.42315,124.27042,0.432775,3.25,1.125,2.065565,0.08787125,0.01781625,0,0.0038325,0.00168125,0.00298125,0.00042625
Transition Game 2.2,Service,0 days 00:04:53,499.2290129,101.9944857,14.18714286,0.768571429,0,0,0,6.084424286,2.142857143,3.285714286,0.285714286,0.795714286,3.233648571,-4.260252857,0.543584286,159.6397329,2.584218571,2.285714286,1,2.512475714,0.048308571,0.002617143,0,0.003407143,0.002044286,0.007298571,0.000974286
Transition Game 2.2,Unknown,0 days 00:04:53,454.42853,92.84157,12.06,0,0,0,0,6.28118,2,4,0,0.18,3.44787,-4.11927,0.56854,166.96772,0,3,2,2.3274,0.04107,0,0,0.00681,0.00189,0.00681,0
Tryline 13v13,Edges,0 days 00:14:58,1128.553803,75.33879,26.155,2.335,2.79,0,0,6.60176,10,8.5,0.75,0.7775,4.06842,-4.4170475,0.47307,422.9596025,1.4158375,7.25,0.75,5.7762825,0.027445,0.002395,0,0.0007725,0.00154,0.0111875,0.00077
Tryline 13v13,Middles,0 days 00:15:07.333333333,1210.612712,80.31812667,11.53,0,0.106666667,0,0,6.067546667,13.66666667,10.16666667,0.333333333,0.448333333,3.851455,-4.577655,0.506583333,457.5308983,-0.827773333,9.333333333,1,6.19199,0.013016667,0,0,0.001058333,0.001638333,0.01523,0.000341667
Tryline 13v13,Outside Backs,0 days 00:14:51.375000,1031.125251,69.68003875,37.46625,6.21125,4.51625,0,0,6.86951625,6.75,5.375,0.25,1.015,3.80569375,-5.02126625,0.4105125,361.9585088,-3.43372375,3.875,1.375,5.1867125,0.0449975,0.00839125,0,0.00159375,0.00139875,0.0079975,0.0003025
Tryline 13v13,Service,0 days 00:16:14,1342.913103,82.66878571,33.28714286,3.162857143,3.18,0,0,6.357457143,8.285714286,7.285714286,0.571428571,1.664285714,3.993101429,-4.588494286,0.487694286,475.3408257,3.596784286,7.428571429,1.857142857,6.758952857,0.034151429,0.003245714,0,0.001907143,0.001655714,0.0085,0.000587143
Tryline Attack,Edges,0 days 00:16:45.750000,943.8880567,53.51882917,11.02833333,0,0.260833333,0,0,6.090294167,6.333333333,6.166666667,0.333333333,0.425833333,3.741521667,-4.2016825,0.3771925,400.575925,1.6865425,3,0.25,4.799194167,0.01234,0,0,0.000163333,0.0010875,0.006635,0.000290833
Tryline Attack,Middles,0 days 00:18:04.200000,1122.774055,61.07487,6.943333333,0,0,0,0,5.821864,13.2,10.13333333,1.6,0.722666667,4.011202,-4.426113333,0.460188,510.3641007,-1.281581333,9.4,1.2,5.898122667,0.006902,0,0,0.000934667,0.001282,0.012149333,0.001315333
Tryline Attack,Outside Backs,0 days 00:17:06,927.2468625,52.59241583,21.84666667,2.77,1.71875,0,0,6.545635,4.958333333,4.583333333,0.375,0.25875,3.650385833,-3.74044625,0.332662917,357.7791533,-0.202532917,1.791666667,0.5,4.618797083,0.02036375,0.002112083,0,0.00038375,0.001037083,0.00438875,0.000282917
Tryline Attack,Service,0 days 00:17:36.750000,1173.953531,65.6771465,33.1294995,2.04,1.5995,0,0,6.2199665,11.25,8.55,0.6,0.8715,3.9621215,-4.105175,0.4507515,486.072223,-0.329431,5.15,0.7,6.036781,0.0280525,0.0015365,0,0.0005495,0.0013415,0.010858,0.000615
Tryline Attack,Unknown,0 days 00:12:55.500000,497.18729,35.925475,5.485,0,0,0,0,5.685485,1.5,0.5,0.5,0,3.943015,-3.142185,0.23279,195.96277,0,0.5,0,2.38313,0.00838,0,0,0,0.000685,0.00208,0.000765
Tryline Attack (1),Edges,0 days 00:16:29,939.1670525,56.9664,13.8075,0.7925,2.495,0,0,6.4527275,7.25,6.5,0.5,0.5625,3.9900375,-4.0813575,0.3685,364.51015,1.4557375,4.5,0.5,4.74635,0.0139575,0.0008,0,0.000505,0.001145,0.00733,0.000505
Tryline Attack (1),Middles,0 days 00:13:56.500000,1003.599641,72.62552875,9.55,0,1.85125,0,0,6.09002625,11.125,10,0.375,0.32875,3.91765875,-4.36059,0.48672875,405.98268,0.23866,10.5,1.375,5.15558125,0.01214,0,0,0.00187125,0.00149,0.01392,0.00037875
Tryline Attack (1),Outside Backs,0 days 00:16:29,1031.363266,62.55868125,20.73625,3.955,3.2125,0,0,6.59561375,3.5,3.5,0.5,0.52375,3.65456125,-4.05120375,0.35616875,352.3146275,0.3578125,1.5,0.25,4.99246625,0.0209625,0.00399875,0,0.0002525,0.00120625,0.0035375,0.000505
Tryline Attack (1),Service,0 days 00:16:29,1340.916585,81.33504167,31.73166667,4.176666667,2.963333333,0,0,6.456696667,11.5,10.5,1.333333333,0.848333333,3.981693333,-4.238,0.50521,499.7444633,0.906013333,6.666666667,1.333333333,6.838221667,0.032076667,0.004221667,0,0.001346667,0.001651667,0.011625,0.001346667
Tryline Attack (Team 1),Edges,0 days 00:10:05,554.594725,54.957525,17.445,0,0,0,0,6.17087,4.5,5,1,1.4,4.242695,-5.062155,0.38588,233.642335,0,4,1,2.90796,0.02881,0,0,0.00165,0.001145,0.007435,0.00165
